Program,Czas procesorów przetwarzania sekwencyjnego,Czas procesorów przetwarzania równoległego,Czas obliczeń sekwencyjnych,Czas obliczeń równoległych,Pierwszy indeks tablicy,Drugi indeks tablicy, Przyspieszenie, Liczba kroków
pi7,0.033402,0.425494,0.033535,0.213621,0, 2,0.156985, 10000000
pi7,0.033402,0.421235,0.033535,0.211254,1, 3,0.158744, 10000000
pi7,0.033402,0.421164,0.033535,0.211103,2, 4,0.158858, 10000000
pi7,0.033402,0.421482,0.033535,0.211436,3, 5,0.158608, 10000000
pi7,0.033402,0.059315,0.033535,0.029487,4, 6,1.137302, 10000000
pi7,0.033402,0.058282,0.033535,0.029424,5, 7,1.139728, 10000000
pi7,0.033402,0.476451,0.033535,0.238610,6, 8,0.140545, 10000000
pi7,0.033402,0.474707,0.033535,0.237960,7, 9,0.140929, 10000000
pi7,0.033402,0.479228,0.033535,0.240332,8, 10,0.139538, 10000000
pi7,0.033402,0.487144,0.033535,0.244295,9, 11,0.137274, 10000000
pi7,0.033402,0.480210,0.033535,0.240337,10, 12,0.139535, 10000000
pi7,0.033402,0.475407,0.033535,0.238445,11, 13,0.140642, 10000000
pi7,0.033402,0.058083,0.033535,0.029212,12, 14,1.148015, 10000000
pi7,0.033402,0.059159,0.033535,0.029316,13, 15,1.143919, 10000000
pi7,0.033402,0.421084,0.033535,0.211080,14, 16,0.158875, 10000000
pi7,0.033402,0.429148,0.033535,0.215178,15, 17,0.155850, 10000000
pi7,0.033402,0.433482,0.033535,0.217497,16, 18,0.154188, 10000000
pi7,0.033402,0.433002,0.033535,0.216959,17, 19,0.154570, 10000000
pi7,0.033402,0.436003,0.033535,0.218158,18, 20,0.153721, 10000000
pi7,0.033402,0.435312,0.033535,0.218317,19, 21,0.153609, 10000000
pi7,0.033402,0.058032,0.033535,0.029192,20, 22,1.148784, 10000000
pi7,0.033402,0.060085,0.033535,0.030272,21, 23,1.107795, 10000000
pi7,0.033402,0.438054,0.033535,0.219053,22, 24,0.153092, 10000000
pi7,0.033402,0.435137,0.033535,0.218112,23, 25,0.153753, 10000000
pi7,0.033402,0.439064,0.033535,0.220063,24, 26,0.152390, 10000000
pi7,0.033402,0.433594,0.033535,0.217614,25, 27,0.154105, 10000000
pi7,0.033402,0.432567,0.033535,0.216618,26, 28,0.154813, 10000000
pi7,0.033402,0.442430,0.033535,0.221498,27, 29,0.151403, 10000000
pi7,0.033402,0.056526,0.033535,0.028647,28, 30,1.170628, 10000000
pi7,0.033402,0.058090,0.033535,0.029208,29, 31,1.148153, 10000000
pi7,0.033402,0.430266,0.033535,0.215222,30, 32,0.155818, 10000000
pi7,0.033402,0.437612,0.033535,0.219634,31, 33,0.152688, 10000000
pi7,0.033402,0.444963,0.033535,0.222995,32, 34,0.150386, 10000000
pi7,0.033402,0.430685,0.033535,0.216079,33, 35,0.155200, 10000000
pi7,0.033402,0.430712,0.033535,0.215766,34, 36,0.155425, 10000000
pi7,0.033402,0.430842,0.033535,0.215764,35, 37,0.155426, 10000000
pi7,0.033402,0.058140,0.033535,0.029265,36, 38,1.145924, 10000000
pi7,0.033402,0.058044,0.033535,0.029168,37, 39,1.149740, 10000000
pi7,0.033402,0.478210,0.033535,0.239384,38, 40,0.140091, 10000000
pi7,0.033402,0.489083,0.033535,0.245232,39, 41,0.136749, 10000000
pi7,0.033402,0.485244,0.033535,0.243342,40, 42,0.137812, 10000000
pi7,0.033402,0.486423,0.033535,0.243600,41, 43,0.137666, 10000000
pi7,0.033402,0.488341,0.033535,0.244495,42, 44,0.137162, 10000000
pi7,0.033402,0.485036,0.033535,0.243240,43, 45,0.137870, 10000000
pi7,0.033402,0.343036,0.033535,0.172462,44, 46,0.194451, 10000000
pi7,0.033402,0.345731,0.033535,0.173675,45, 47,0.193093, 10000000
pi7,0.033402,0.438825,0.033535,0.220346,46, 48,0.152194, 10000000
pi7,0.033402,0.440661,0.033535,0.220711,47, 49,0.151943, 10000000
pi7,0.033402,0.444408,0.033535,0.222486,48, 50,0.150730, 10000000
